period,midpoint,Raw SEC,Smooth SEC,dH,Subregion
1991/07 - 1996/07,1994-01-28 12:02:43.476562,-0.186,-0.186,0.0,H-Hp
1991/08 - 1996/08,1994-02-28 12:15:01.757812,-0.187,-0.186,-0.18642637878656387,H-Hp
1991/09 - 1996/09,1994-03-31 12:55:09.960938,-0.187,-0.187,-0.37302035838365555,H-Hp
1991/10 - 1996/10,1994-04-30 13:01:56.015625,-0.187,-0.182,-0.5596143379807472,H-Hp
1991/11 - 1996/11,1994-05-31 13:14:14.296875,-0.187,-0.178,-0.7462083175778389,H-Hp
1991/12 - 1996/12,1994-06-30 12:48:50.273438,-0.165,-0.173,-0.921846516430378,H-Hp
1992/01 - 1997/01,1994-07-31 13:01:08.554688,-0.165,-0.169,-1.0865289345383644,H-Hp
1992/02 - 1997/02,1994-08-30 01:22:08.906250,-0.165,-0.162,-1.2512113526463509,H-Hp
1992/03 - 1997/03,1994-09-29 00:56:44.882812,-0.165,-0.16,-1.4158937707543373,H-Hp
1992/04 - 1997/04,1994-10-30 00:09:03.164062,-0.151,-0.158,-1.573954239487648,H-Hp
1992/05 - 1997/05,1994-11-28 23:43:39.140625,-0.156,-0.157,-1.7275241017341614,H-Hp
1992/06 - 1997/06,1994-12-29 23:55:57.421875,-0.156,-0.155,-1.8832253068685532,H-Hp
1992/07 - 1997/07,1995-01-29 00:02:43.476562,-0.156,-0.149,-2.038926512002945,H-Hp
1992/08 - 1997/08,1995-03-01 00:15:01.757812,-0.156,-0.142,-2.1946277171373367,H-Hp
1992/09 - 1997/09,1995-04-01 00:55:09.960938,-0.12,-0.134,-2.332643236964941,H-Hp
1992/10 - 1997/10,1995-05-01 01:01:56.015625,-0.12,-0.127,-2.452973071485758,H-Hp
1992/11 - 1997/11,1995-06-01 01:14:14.296875,-0.12,-0.12,-2.5733029060065746,H-Hp
1992/12 - 1997/12,1995-07-01 00:48:50.273438,-0.12,-0.115,-2.6936327405273914,H-Hp
1993/01 - 1998/01,1995-08-01 01:08:15.703125,-0.12,-0.11,-2.8139625750482082,H-Hp
1993/02 - 1998/02,1995-08-30 01:16:31.406250,-0.094,-0.105,-2.921108264476061,H-Hp
1993/03 - 1998/03,1995-09-29 00:56:18.515625,-0.094,-0.099,-3.0150698088109493,H-Hp
1993/04 - 1998/04,1995-10-30 00:11:46.640625,-0.094,-0.081,-3.109031353145838,H-Hp
1993/05 - 1998/05,1995-11-28 23:51:33.750000,-0.094,-0.068,-3.2029928974807262,H-Hp
1993/06 - 1998/06,1995-12-30 00:07:01.875000,-0.029,-0.055,-3.2645945800468326,H-Hp
1993/07 - 1998/07,1996-01-28 23:46:48.984375,-0.029,-0.042,-3.2938364008441567,H-Hp
1993/08 - 1998/08,1996-02-29 00:02:17.109375,-0.029,-0.029,-3.323078221641481,H-Hp
1993/09 - 1998/09,1996-03-31 00:17:45.234375,-0.029,-0.017,-3.352320042438805,H-Hp
1993/10 - 1998/10,1996-04-30 00:57:32.343750,-0.029,-0.004,-3.3815618632361293,H-Hp
1993/11 - 1998/11,1996-05-31 01:13:00.468750,0.034,0.009,-3.379056131467223,H-Hp
1993/12 - 1998/12,1996-06-30 00:52:47.578125,0.034,0.022,-3.3448028471320868,H-Hp
1994/01 - 1999/01,1996-07-31 01:08:15.703125,0.034,0.034,-3.3105495627969503,H-Hp
1994/02 - 1999/02,1996-08-29 01:16:31.406250,0.034,0.037,-3.276296278461814,H-Hp
1994/03 - 1999/03,1996-09-28 00:56:18.515625,0.034,0.041,-3.2420429941266775,H-Hp
1994/04 - 1999/04,1996-10-29 00:11:46.640625,0.05,0.044,-3.1999424025416374,H-Hp
1994/05 - 1999/05,1996-11-27 23:51:33.750000,0.05,0.047,-3.1499945037066936,H-Hp
1994/06 - 1999/06,1996-12-29 00:07:01.875000,0.05,0.052,-3.10004660487175,H-Hp
1994/07 - 1999/07,1997-01-27 23:46:48.984375,0.05,0.054,-3.050098706036806,H-Hp
1994/08 - 1999/08,1997-02-28 00:02:17.109375,0.061,0.056,-2.994863899424672,H-Hp
1994/09 - 1999/09,1997-03-31 01:17:45.234375,0.061,0.058,-2.934342185035348,H-Hp
1994/10 - 1999/10,1997-04-30 00:57:32.343750,0.061,0.061,-2.8738204706460238,H-Hp
1994/11 - 1999/11,1997-05-31 01:13:00.468750,0.061,0.06,-2.8132987562566996,H-Hp
1994/12 - 1999/12,1997-06-30 00:52:47.578125,0.061,0.06,-2.7527770418673754,H-Hp
1995/01 - 2000/01,1997-07-31 01:01:08.554688,0.059,0.059,-2.6932149678468704,H-Hp
1995/02 - 2000/02,1997-08-29 01:02:17.109375,0.059,0.059,-2.6346125341951847,H-Hp
1995/03 - 2000/03,1997-09-28 12:56:44.882812,0.059,0.063,-2.576010100543499,H-Hp
1995/04 - 2000/04,1997-10-29 12:09:03.164062,0.059,0.068,-2.5174076668918133,H-Hp
1995/05 - 2000/05,1997-11-28 11:43:39.140625,0.082,0.074,-2.4469797741621733,H-Hp
1995/06 - 2000/06,1997-12-29 11:55:57.421875,0.084,0.079,-2.3636537734419107,H-Hp
1995/07 - 2000/07,1998-01-28 12:02:43.476562,0.084,0.084,-2.27925512380898,H-Hp
1995/08 - 2000/08,1998-02-28 12:15:01.757812,0.084,0.089,-2.1948564741760492,H-Hp
1995/09 - 2000/09,1998-03-31 12:55:09.960938,0.084,0.094,-2.1104578245431185,H-Hp
1995/10 - 2000/10,1998-04-30 13:01:56.015625,0.109,0.099,-2.013995850458741,H-Hp
1995/11 - 2000/11,1998-05-31 13:14:14.296875,0.109,0.104,-1.9054705519229174,H-Hp
1995/12 - 2000/12,1998-06-30 12:48:50.273438,0.109,0.109,-1.7969452533870935,H-Hp
1996/01 - 2001/01,1998-07-31 13:01:08.554688,0.109,0.111,-1.6884199548512697,H-Hp
1996/02 - 2001/02,1998-08-30 01:22:08.906250,0.111,0.114,-1.578536981716752,H-Hp
1996/03 - 2001/03,1998-09-29 00:56:44.882812,0.121,0.116,-1.4626447204500437,H-Hp
1996/04 - 2001/04,1998-10-30 00:09:03.164062,0.121,0.119,-1.3421008456498384,H-Hp
1996/05 - 2001/05,1998-11-28 23:43:39.140625,0.121,0.126,-1.2215569708496332,H-Hp
1996/06 - 2001/06,1998-12-29 23:55:57.421875,0.121,0.131,-1.101013096049428,H-Hp
1996/07 - 2001/07,1999-01-29 00:02:43.476562,0.147,0.136,-0.9674777444452047,H-Hp
1996/08 - 2001/08,1999-03-01 00:15:01.757812,0.147,0.141,-0.8209509160369635,H-Hp
1996/09 - 2001/09,1999-04-01 00:55:09.960938,0.147,0.147,-0.6744240876287222,H-Hp
1996/10 - 2001/10,1999-05-01 01:01:56.015625,0.147,0.142,-0.5278972592204809,H-Hp
1996/11 - 2001/11,1999-06-01 01:14:14.296875,0.147,0.138,-0.38137043081223965,H-Hp
1996/12 - 2001/12,1999-07-01 00:48:50.273438,0.124,0.133,-0.2459873128682375,H-Hp
1997/01 - 2002/01,1999-08-01 01:08:15.703125,0.124,0.129,-0.12174790538847446,H-Hp
1997/02 - 2002/02,1999-08-30 01:16:31.406250,0.124,0.117,0.0024915020912885666,H-Hp
1997/03 - 2002/03,1999-09-29 00:56:18.515625,0.124,0.11,0.1267309095710516,H-Hp
1997/04 - 2002/04,1999-10-30 01:11:46.640625,0.088,0.102,0.232773931697011,H-Hp
1997/05 - 2002/05,1999-11-28 23:51:33.750000,0.088,0.095,0.32062056846916676,H-Hp
1997/06 - 2002/06,1999-12-30 00:07:01.875000,0.088,0.088,0.4084672052413225,H-Hp
1997/07 - 2002/07,2000-01-28 23:46:48.984375,0.088,0.086,0.4963138420134783,H-Hp
1997/08 - 2002/08,2000-02-29 00:02:17.109375,0.088,0.085,0.584160478785634,H-Hp
1997/09 - 2002/09,2000-03-31 01:17:45.234375,0.08,0.083,0.668133707717061,H-Hp
1997/10 - 2002/10,2000-04-30 00:57:32.343750,0.08,0.082,0.7482335288077593,H-Hp
1997/11 - 2002/11,2000-05-31 01:13:00.468750,0.08,0.078,0.8283333498984575,H-Hp
1997/12 - 2002/12,2000-06-30 00:52:47.578125,0.08,0.073,0.9084331709891558,H-Hp
1998/01 - 2003/01,2000-07-31 01:08:15.703125,0.071,0.068,0.9838748443871737,H-Hp
1998/02 - 2003/02,2000-08-29 01:16:31.406250,0.055,0.063,1.0467868205159903,H-Hp
1998/03 - 2003/03,2000-09-28 00:56:18.515625,0.055,0.058,1.101827247068286,H-Hp
1998/04 - 2003/04,2000-10-29 01:11:46.640625,0.055,0.052,1.1568676736205816,H-Hp
1998/05 - 2003/05,2000-11-27 23:51:33.750000,0.055,0.048,1.2119081001728773,H-Hp
1998/06 - 2003/06,2000-12-29 00:07:01.875000,0.038,0.045,1.2585248053073883,H-Hp
1998/07 - 2003/07,2001-01-27 23:46:48.984375,0.038,0.042,1.2967177890241146,H-Hp
1998/08 - 2003/08,2001-02-28 00:02:17.109375,0.038,0.038,1.334910772740841,H-Hp
1998/09 - 2003/09,2001-03-31 01:17:45.234375,0.038,0.032,1.3731037564575672,H-Hp
1998/10 - 2003/10,2001-04-30 00:57:32.343750,0.038,0.025,1.4112967401742935,H-Hp
1998/11 - 2003/11,2001-05-31 01:13:00.468750,0.005,0.018,1.4329201839864254,H-Hp
1998/12 - 2003/12,2001-06-30 00:52:47.578125,0.005,0.012,1.4379740878939629,H-Hp
1999/01 - 2004/01,2001-07-31 01:01:08.554688,0.005,0.004,1.4430279918015003,H-Hp
1999/02 - 2004/02,2001-08-29 01:02:17.109375,0.005,-0.004,1.4480818957090378,H-Hp
1999/03 - 2004/03,2001-09-28 12:56:44.882812,-0.0,-0.012,1.4504220339294989,H-Hp
1999/04 - 2004/04,2001-10-29 12:09:03.164062,-0.035,-0.02,1.432849197241012,H-Hp
1999/05 - 2004/05,2001-11-28 11:43:39.140625,-0.035,-0.028,1.3980771513306536,H-Hp
1999/06 - 2004/06,2001-12-29 11:55:57.421875,-0.035,-0.038,1.3633051054202951,H-Hp
1999/07 - 2004/07,2002-01-28 12:02:43.476562,-0.035,-0.04,1.3285330595099367,H-Hp
1999/08 - 2004/08,2002-02-28 12:15:01.757812,-0.049,-0.043,1.2866289863013662,H-Hp
1999/09 - 2004/09,2002-03-31 12:55:09.960938,-0.049,-0.046,1.2375928857945837,H-Hp
1999/10 - 2004/10,2002-04-30 13:01:56.015625,-0.049,-0.049,1.1885567852878012,H-Hp
1999/11 - 2004/11,2002-05-31 13:14:14.296875,-0.049,-0.055,1.1395206847810186,H-Hp
1999/12 - 2004/12,2002-06-30 12:48:50.273438,-0.05,-0.06,1.0897942172014154,H-Hp
2000/01 - 2005/01,2002-07-31 13:01:08.554688,-0.076,-0.065,1.0268303179764189,H-Hp
2000/02 - 2005/02,2002-08-30 01:22:08.906250,-0.076,-0.07,0.9513193541788496,H-Hp
2000/03 - 2005/03,2002-09-29 00:56:44.882812,-0.076,-0.069,0.8758083903812803,H-Hp
2000/04 - 2005/04,2002-10-30 00:09:03.164062,-0.076,-0.063,0.8002974265837111,H-Hp
2000/05 - 2005/05,2002-11-28 23:43:39.140625,-0.045,-0.057,0.7401008685701527,H-Hp
2000/06 - 2005/06,2002-12-29 23:55:57.421875,-0.045,-0.051,0.6952187163406052,H-Hp
2000/07 - 2005/07,2003-01-29 00:02:43.476562,-0.045,-0.045,0.6503365641110577,H-Hp
2000/08 - 2005/08,2003-03-01 00:15:01.757812,-0.045,-0.036,0.6054544118815102,H-Hp
2000/09 - 2005/09,2003-04-01 00:55:09.960938,-0.045,-0.026,0.5605722596519627,H-Hp
2000/10 - 2005/10,2003-05-01 01:01:56.015625,0.002,-0.017,0.538953444105573,H-Hp
2000/11 - 2005/11,2003-06-01 01:14:14.296875,0.002,-0.008,0.5405979652423412,H-Hp
2000/12 - 2005/12,2003-07-01 00:48:50.273438,0.002,0.002,0.5422424863791093,H-Hp
2001/01 - 2006/01,2003-08-01 01:08:15.703125,0.002,0.003,0.5438870075158775,H-Hp
2001/02 - 2006/02,2003-08-30 01:16:31.406250,0.006,0.004,0.5476329811499454,H-Hp
2001/03 - 2006/03,2003-09-29 00:56:18.515625,0.006,0.005,0.5534804072813131,H-Hp
2001/04 - 2006/04,2003-10-30 00:11:46.640625,0.006,0.006,0.5593278334126808,H-Hp
2001/05 - 2006/05,2003-11-28 23:51:33.750000,0.006,0.013,0.5651752595440485,H-Hp
2001/06 - 2006/06,2003-12-30 00:07:01.875000,0.006,0.02,0.5710226856754161,H-Hp
2001/07 - 2006/07,2004-01-28 23:46:48.984375,0.04,0.027,0.5941304462612607,H-Hp
2001/08 - 2006/08,2004-02-29 00:02:17.109375,0.04,0.033,0.634498541301582,H-Hp
2001/09 - 2006/09,2004-03-31 01:17:45.234375,0.04,0.041,0.6748666363419034,H-Hp
2001/10 - 2006/10,2004-04-30 00:57:32.343750,0.04,0.04,0.7152347313822247,H-Hp
2001/11 - 2006/11,2004-05-31 01:13:00.468750,0.044,0.04,0.757286771258805,H-Hp
2001/12 - 2006/12,2004-06-30 00:52:47.578125,0.038,0.039,0.7979760347516276,H-Hp
2002/01 - 2007/01,2004-07-31 01:08:15.703125,0.038,0.039,0.8356185770244338,H-Hp
2002/02 - 2007/02,2004-08-29 01:16:31.406250,0.038,0.039,0.8732611192972399,H-Hp
2002/03 - 2007/03,2004-09-28 00:56:18.515625,0.038,0.04,0.9109036615700461,H-Hp
2002/04 - 2007/04,2004-10-29 01:11:46.640625,0.043,0.041,0.9511828171671368,H-Hp
2002/05 - 2007/05,2004-11-27 23:51:33.750000,0.043,0.042,0.9940985860885121,H-Hp
2002/06 - 2007/06,2004-12-29 00:07:01.875000,0.043,0.043,1.0370143550098874,H-Hp
2002/07 - 2007/07,2005-01-27 23:46:48.984375,0.043,0.048,1.0799301239312626,H-Hp
2002/08 - 2007/08,2005-02-28 00:02:17.109375,0.043,0.053,1.122845892852638,H-Hp
2002/09 - 2007/09,2005-03-31 01:17:45.234375,0.068,0.058,1.1782075213850476,H-Hp
2002/10 - 2007/10,2005-04-30 00:57:32.343750,0.068,0.063,1.2460150095284916,H-Hp
2002/11 - 2007/11,2005-05-31 01:13:00.468750,0.068,0.073,1.3138224976719357,H-Hp
2002/12 - 2007/12,2005-06-30 00:52:47.578125,0.068,0.077,1.3816299858153798,H-Hp
2003/01 - 2008/01,2005-07-31 01:01:08.554688,0.091,0.082,1.461256542301271,H-Hp
2003/02 - 2008/02,2005-08-29 01:02:17.109375,0.091,0.087,1.5527021671296097,H-Hp
2003/03 - 2008/03,2005-09-28 12:56:44.882812,0.091,0.091,1.6441477919579484,H-Hp
2003/04 - 2008/04,2005-10-29 13:09:03.164062,0.091,0.092,1.735593416786287,H-Hp
2003/05 - 2008/05,2005-11-28 11:43:39.140625,0.091,0.092,1.8270390416146256,H-Hp
2003/06 - 2008/06,2005-12-29 11:55:57.421875,0.092,0.092,1.918943700438831,H-Hp
2003/07 - 2008/07,2006-01-28 12:02:43.476562,0.092,0.092,2.011307393258903,H-Hp
2003/08 - 2008/08,2006-02-28 12:15:01.757812,0.092,0.097,2.1036710860789753,H-Hp
2003/09 - 2008/09,2006-03-31 12:55:09.960938,0.092,0.1,2.1960347788990475,H-Hp
2003/10 - 2008/10,2006-04-30 13:01:56.015625,0.113,0.103,2.2988150092423894,H-Hp
2003/11 - 2008/11,2006-05-31 13:14:14.296875,0.108,0.106,2.409630161768291,H-Hp
2003/12 - 2008/12,2006-06-30 12:48:50.273438,0.108,0.109,2.5180636989534833,H-Hp
2004/01 - 2009/01,2006-07-31 13:01:08.554688,0.108,0.107,2.6264972361386754,H-Hp
2004/02 - 2009/02,2006-08-30 01:22:08.906250,0.108,0.106,2.7349307733238675,H-Hp
2004/03 - 2009/03,2006-09-29 00:56:44.882812,0.102,0.105,2.8402112397016026,H-Hp
2004/04 - 2009/04,2006-10-30 00:09:03.164062,0.102,0.103,2.9423386352718808,H-Hp
2004/05 - 2009/05,2006-11-28 23:43:39.140625,0.102,0.102,3.044466030842159,H-Hp
2004/06 - 2009/06,2006-12-29 23:55:57.421875,0.102,0.1,3.146593426412437,H-Hp
2004/07 - 2009/07,2007-01-29 00:02:43.476562,0.102,0.098,3.2487208219827153,H-Hp
2004/08 - 2009/08,2007-03-01 00:15:01.757812,0.091,0.095,3.3452511439681984,H-Hp
2004/09 - 2009/09,2007-04-01 00:55:09.960938,0.091,0.093,3.4361843923688866,H-Hp
2004/10 - 2009/10,2007-05-01 01:01:56.015625,0.091,0.086,3.527117640769575,H-Hp
2004/11 - 2009/11,2007-06-01 01:14:14.296875,0.091,0.08,3.618050889170263,H-Hp
2004/12 - 2009/12,2007-07-01 00:48:50.273438,0.064,0.075,3.6954569304944016,H-Hp
2005/01 - 2010/01,2007-08-01 01:08:15.703125,0.064,0.069,3.7593357647419907,H-Hp
2005/02 - 2010/02,2007-08-30 01:16:31.406250,0.064,0.064,3.82321459898958,H-Hp
2005/03 - 2010/03,2007-09-29 00:56:18.515625,0.064,0.057,3.887093433237169,H-Hp
2005/04 - 2010/04,2007-10-30 00:11:46.640625,0.064,0.05,3.950972267484758,H-Hp
2005/05 - 2010/05,2007-11-28 23:51:33.750000,0.03,0.043,3.997779075114522,H-Hp
2005/06 - 2010/06,2007-12-30 00:07:01.875000,0.03,0.037,4.027513856126461,H-Hp
2005/07 - 2010/07,2008-01-28 23:46:48.984375,0.03,0.031,4.0572486371384,H-Hp
2005/08 - 2010/08,2008-02-29 00:02:17.109375,0.03,0.032,4.086983418150339,H-Hp
2005/09 - 2010/09,2008-03-31 01:17:45.234375,0.038,0.033,4.120984855166171,H-Hp
2005/10 - 2010/10,2008-04-30 00:57:32.343750,0.034,0.034,4.157096262148116,H-Hp
2005/11 - 2010/11,2008-05-31 01:13:00.468750,0.034,0.035,4.191050983092282,H-Hp
2005/12 - 2010/12,2008-06-30 00:52:47.578125,0.034,0.038,4.225005704036448,H-Hp
2006/01 - 2011/01,2008-07-31 01:08:15.703125,0.034,0.041,4.258960424980614,H-Hp
2006/02 - 2011/02,2008-08-29 01:16:31.406250,0.052,0.045,4.302163285261486,H-Hp
2006/03 - 2011/03,2008-09-28 00:56:18.515625,0.052,0.049,4.354614284879062,H-Hp
2006/04 - 2011/04,2008-10-29 00:11:46.640625,0.052,0.052,4.407065284496639,H-Hp
2006/05 - 2011/05,2008-11-27 23:51:33.750000,0.052,0.055,4.4595162841142155,H-Hp
2006/06 - 2011/06,2008-12-29 00:07:01.875000,0.052,0.058,4.511967283731792,H-Hp
2006/07 - 2011/07,2009-01-27 23:46:48.984375,0.067,0.061,4.571459320432041,H-Hp
2006/08 - 2011/08,2009-02-28 00:02:17.109375,0.067,0.064,4.637992394214962,H-Hp
2006/09 - 2011/09,2009-03-31 01:17:45.234375,0.067,0.067,4.7045254679978825,H-Hp
2006/10 - 2011/10,2009-04-30 00:57:32.343750,0.067,0.067,4.771058541780803,H-Hp
2006/11 - 2011/11,2009-05-31 01:13:00.468750,0.067,0.067,4.837707468366716,H-Hp
2006/12 - 2011/12,2009-06-30 00:52:47.578125,0.067,0.067,4.904472247755621,H-Hp
2007/01 - 2012/01,2009-07-31 01:01:08.554688,0.067,0.067,4.971237027144525,H-Hp
2007/02 - 2012/02,2009-08-29 01:02:17.109375,0.067,0.063,5.03800180653343,H-Hp
2007/03 - 2012/03,2009-09-28 12:56:44.882812,0.067,0.058,5.104766585922334,H-Hp
2007/04 - 2012/04,2009-10-29 12:09:03.164062,0.046,0.054,5.16100394265959,H-Hp
2007/05 - 2012/05,2009-11-28 11:43:39.140625,0.046,0.05,5.206713876745198,H-Hp
2007/06 - 2012/06,2009-12-29 11:55:57.421875,0.046,0.042,5.2524238108308055,H-Hp
2007/07 - 2012/07,2010-01-28 12:02:43.476562,0.046,0.036,5.298133744916413,H-Hp
2007/08 - 2012/08,2010-02-28 12:15:01.757812,0.028,0.03,5.334854026383255,H-Hp
2007/09 - 2012/09,2010-03-31 12:55:09.960938,0.015,0.024,5.356120080279652,H-Hp
2007/10 - 2012/10,2010-04-30 13:01:56.015625,0.015,0.017,5.370921559224371,H-Hp
2007/11 - 2012/11,2010-05-31 13:14:14.296875,0.015,0.007,5.38572303816909,H-Hp
2007/12 - 2012/12,2010-06-30 12:48:50.273438,0.015,-0.0,5.4005245171138085,H-Hp
2008/01 - 2013/01,2010-07-31 13:01:08.554688,-0.023,-0.008,5.3965269914478995,H-Hp
2008/02 - 2013/02,2010-08-30 01:22:08.906250,-0.023,-0.015,5.3737304611713625,H-Hp
2008/03 - 2013/03,2010-09-29 00:56:44.882812,-0.023,-0.023,5.350933930894826,H-Hp
2008/04 - 2013/04,2010-10-30 01:09:03.164062,-0.023,-0.033,5.328137400618289,H-Hp
2008/05 - 2013/05,2010-11-28 23:43:39.140625,-0.023,-0.043,5.305340870341752,H-Hp
2008/06 - 2013/06,2010-12-29 23:55:57.421875,-0.074,-0.053,5.257097874826286,H-Hp
2008/07 - 2013/07,2011-01-29 00:02:43.476562,-0.074,-0.064,5.1834084140718915,H-Hp
2008/08 - 2013/08,2011-03-01 00:15:01.757812,-0.074,-0.077,5.109718953317497,H-Hp
2008/09 - 2013/09,2011-04-01 00:55:09.960938,-0.074,-0.081,5.036029492563102,H-Hp
2008/10 - 2013/10,2011-05-01 01:01:56.015625,-0.091,-0.084,4.953509108221624,H-Hp
2008/11 - 2013/11,2011-06-01 01:14:14.296875,-0.091,-0.088,4.862157800293062,H-Hp
2008/12 - 2013/12,2011-07-01 00:48:50.273438,-0.091,-0.091,4.7708064923645,H-Hp
2009/01 - 2014/01,2011-08-01 01:08:15.703125,-0.091,-0.11,4.6794551844359376,H-Hp
2009/02 - 2014/02,2011-08-30 01:16:31.406250,-0.091,-0.128,4.588103876507375,H-Hp
2009/03 - 2014/03,2011-09-29 00:56:18.515625,-0.184,-0.147,4.4505830454290845,H-Hp
2009/04 - 2014/04,2011-10-30 01:11:46.640625,-0.184,-0.165,4.266892691201065,H-Hp
2009/05 - 2014/05,2011-11-28 23:51:33.750000,-0.184,-0.184,4.083202336973045,H-Hp
2009/06 - 2014/06,2011-12-30 00:07:01.875000,-0.184,-0.186,3.8995119827450253,H-Hp
2009/07 - 2014/07,2012-01-28 23:46:48.984375,-0.186,-0.187,3.714795795327518,H-Hp
2009/08 - 2014/08,2012-02-29 00:02:17.109375,-0.192,-0.189,3.525866021460388,H-Hp
2009/09 - 2014/09,2012-03-31 01:17:45.234375,-0.192,-0.191,3.333748494333122,H-Hp
2009/10 - 2014/10,2012-04-30 00:57:32.343750,-0.192,-0.195,3.141630967205856,H-Hp
2009/11 - 2014/11,2012-05-31 01:13:00.468750,-0.192,-0.198,2.94951344007859,H-Hp
2009/12 - 2014/12,2012-06-30 00:52:47.578125,-0.207,-0.201,2.7500300007523037,H-Hp
2010/01 - 2015/01,2012-07-31 01:08:15.703125,-0.207,-0.204,2.543180649226997,H-Hp
2010/02 - 2015/02,2012-08-29 01:16:31.406250,-0.207,-0.207,2.3363312977016903,H-Hp
2010/03 - 2015/03,2012-09-28 00:56:18.515625,-0.207,-0.209,2.1294819461763836,H-Hp
2010/04 - 2015/04,2012-10-29 00:11:46.640625,-0.207,-0.211,1.922632594651077,H-Hp
2010/05 - 2015/05,2012-11-27 23:51:33.750000,-0.217,-0.213,1.710466017073486,H-Hp
2010/06 - 2015/06,2012-12-29 00:07:01.875000,-0.217,-0.215,1.4929822134436108,H-Hp
2010/07 - 2015/07,2013-01-27 23:46:48.984375,-0.217,-0.219,1.2754984098137356,H-Hp
2010/08 - 2015/08,2013-02-28 00:02:17.109375,-0.217,-0.221,1.0580146061838605,H-Hp
2010/09 - 2015/09,2013-03-31 00:17:45.234375,-0.226,-0.223,0.8360476839006878,H-Hp
2010/10 - 2015/10,2013-04-30 00:57:32.343750,-0.226,-0.225,0.6095976429642178,H-Hp
2010/11 - 2015/11,2013-05-31 01:13:00.468750,-0.226,-0.226,0.3831476020277478,H-Hp
2010/12 - 2015/12,2013-06-30 00:52:47.578125,-0.226,-0.224,0.15669756109127775,H-Hp
2011/01 - 2016/01,2013-07-31 01:01:08.554688,-0.226,-0.221,-0.06975247984519228,H-Hp
2011/02 - 2016/02,2013-08-29 01:02:17.109375,-0.214,-0.219,-0.28980590676655993,H-Hp
2011/03 - 2016/03,2013-09-28 12:56:44.882812,-0.214,-0.216,-0.5034627196728252,H-Hp
2011/04 - 2016/04,2013-10-29 12:09:03.164062,-0.214,-0.211,-0.7171195325790904,H-Hp
2011/05 - 2016/05,2013-11-28 11:43:39.140625,-0.214,-0.206,-0.9307763454853557,H-Hp
2011/06 - 2016/06,2013-12-29 11:55:57.421875,-0.198,-0.202,-1.1365594295202754,H-Hp
2011/07 - 2016/07,2014-01-28 12:02:43.476562,-0.191,-0.197,-1.33116153156152,H-Hp
2011/08 - 2016/08,2014-02-28 12:15:01.757812,-0.191,-0.193,-1.5224563804804347,H-Hp
2011/09 - 2016/09,2014-03-31 12:55:09.960938,-0.191,-0.184,-1.7137512293993495,H-Hp
2011/10 - 2016/10,2014-04-30 13:01:56.015625,-0.191,-0.176,-1.9050460783182643,H-Hp
2011/11 - 2016/11,2014-05-31 13:14:14.296875,-0.153,-0.168,-2.0771555629908107,H-Hp
2011/12 - 2016/12,2014-06-30 12:48:50.273438,-0.153,-0.161,-2.2300796834169887,H-Hp
2012/01 - 2017/01,2014-07-31 13:01:08.554688,-0.153,-0.153,-2.3830038038431667,H-Hp
2012/02 - 2017/02,2014-08-30 01:22:08.906250,-0.153,-0.147,-2.5359279242693447,H-Hp
2012/03 - 2017/03,2014-09-29 00:56:44.882812,-0.153,-0.142,-2.6888520446955226,H-Hp
2012/04 - 2017/04,2014-10-30 00:09:03.164062,-0.126,-0.137,-2.8280972120701335,H-Hp
2012/05 - 2017/05,2014-11-28 23:43:39.140625,-0.126,-0.131,-2.9536634263931774,H-Hp
2012/06 - 2017/06,2014-12-29 23:55:57.421875,-0.126,-0.121,-3.079229640716221,H-Hp
2012/07 - 2017/07,2015-01-29 00:02:43.476562,-0.126,-0.116,-3.204795855039265,H-Hp
2012/08 - 2017/08,2015-03-01 00:15:01.757812,-0.101,-0.111,-3.3182135586976074,H-Hp
2012/09 - 2017/09,2015-04-01 00:55:09.960938,-0.101,-0.106,-3.4194827516912483,H-Hp
2012/10 - 2017/10,2015-05-01 01:01:56.015625,-0.101,-0.101,-3.520751944684889,H-Hp
2012/11 - 2017/11,2015-06-01 01:14:14.296875,-0.101,-0.099,-3.62202113767853,H-Hp
2012/12 - 2017/12,2015-07-01 00:48:50.273438,-0.101,-0.096,-3.723290330672171,H-Hp
2013/01 - 2018/01,2015-08-01 01:08:15.703125,-0.088,-0.093,-3.8178931539296173,H-Hp
2013/02 - 2018/02,2015-08-30 01:16:31.406250,-0.088,-0.091,-3.905829607450869,H-Hp
2013/03 - 2018/03,2015-09-29 00:56:18.515625,-0.088,-0.093,-3.9937660609721206,H-Hp
2013/04 - 2018/04,2015-10-30 00:11:46.640625,-0.088,-0.095,-4.081702514493372,H-Hp
2013/05 - 2018/05,2015-11-28 23:51:33.750000,-0.112,-0.098,-4.181548333668616,H-Hp
2013/06 - 2018/06,2015-12-30 00:07:01.875000,-0.102,-0.101,-4.288212190323975,H-Hp
2013/07 - 2018/07,2016-01-28 23:46:48.984375,-0.102,-0.104,-4.389784718805458,H-Hp
2013/08 - 2018/08,2016-02-29 00:02:17.109375,-0.102,-0.102,-4.491357247286942,H-Hp
2013/09 - 2018/09,2016-03-31 01:17:45.234375,-0.102,-0.103,-4.592929775768425,H-Hp
2013/10 - 2018/10,2016-04-30 00:57:32.343750,-0.105,-0.103,-4.696000418567564,H-Hp
2013/11 - 2018/11,2016-05-31 01:13:00.468750,-0.105,-0.104,-4.800569175684359,H-Hp
